filename,text,label
resume_1.txt,অভিজ্ঞতা সম্পন্ন সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে একটি ডায়নামিক টিমে যোগদান করা যেখানে আমার জাভা এবং স্প্রিং ফ্রেমওয়ার্কের দক্ষতা কাজে লাগিয়ে প্রতিষ্ঠানের সাফল্যে অবদান রাখতে পারি,Objective
resume_1.txt,সিনিয়র সফ্টওয়্যার ইঞ্জিনিয়ার,Experience
resume_1.txt,টেকনোলজি সলিউশনস লিমিটেড,Experience
resume_1.txt,জুলাই ২০২০ - বর্তমান,Experience
resume_1.txt,মাইক্রোসার্ভিস আর্কিটেকচার ব্যবহার করে স্কেলেবল ব্যাকএন্ড সিস্টেম ডিজাইন ও উন্নয়ন,Experience
resume_1.txt,জাভা ও স্প্রিং বুট ব্যবহার করে ব্যবসায়িক লজিক ইমপ্লিমেন্ট করা,Experience
resume_1.txt,ডাটাবেজ হিসেবে MySQL এবং MongoDB ব্যবহার করা,Experience
resume_1.txt,সফ্টওয়্যার ইঞ্জিনিয়ার,Experience
resume_1.txt,ডাটা সফ্ট লিমিটেড (জুন ২০১৮ - জুন ২০২০),Experience
resume_1.txt,ওয়েব অ্যাপ্লিকেশনের ব্যাকএন্ড ডেভেলপমেন্ট,Experience
resume_1.txt,RESTful API তৈরি এবং ডকুমেন্টেশন করা,Experience
resume_1.txt,বিএসসি ইন কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিং,Education
resume_1.txt,বাংলাদেশ ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি (বুয়েট),Education
resume_1.txt,"সিজিপিএ: ""৩৭৫/৪০০"" (২০১৪-২০১৮)",Education
resume_1.txt,"প্রোগ্রামিং ভাষা: জাভা, পাইথন, সি++",Skill
resume_1.txt,"ফ্রেমওয়ার্ক: স্প্রিং বুট, হাইবারনেট, ডjango",Skill
resume_1.txt,"ডাটাবেজ: MySQL, PostgreSQL, MongoDB",Skill
resume_1.txt,"টুলস: Git, Docker, Jenkins, Maven",Skill
resume_10.txt,দক্ষ ও স্কেলেবল সফটওয়্যার সলিউশন ডেভেলপমেন্টের মাধ্যমে প্রতিষ্ঠানের টেকনোলজিক্যাল চ্যালেঞ্জ মোকাবেলা এবং ব্যবসায়িক লক্ষ্য অর্জনে গুরুত্বপূর্ণ ভূমিকা রাখতে আগ্রহী,Objective
resume_10.txt,জুনিয়র সফটওয়্যার ইঞ্জিনিয়ার |,Experience
resume_10.txt,টেক গার্ডেন সফটওয়্যার |,Experience
resume_10.txt,নভেম্বর ২০২০ - বর্তমান,Experience
resume_10.txt,পাইথন এবং জ্যাঙ্গো ফ্রেমওয়ার্ক ব্যবহার করে ব্যাকএন্ড ফিচার ডেভেলপ করছি,Experience
resume_10.txt,রেস্টফুল এপিআই ডিজাইন ও ইমপ্লিমেন্ট করছি,Experience
resume_10.txt,পোস্টগ্রেএসকিউএল ডেটাবেজে কোয়েরি অপটিমাইজেশন এবং ডেটা মডেলিং করছি,Experience
resume_10.txt,গিট ব্যবহার করে ভার্সন কন্ট্রোল এবং টিমের সাথে কোড রিভিউ প্রক্রিয়ায় অংশগ্রহণ করছি,Experience
resume_10.txt,সফটওয়্যার ডেভেলপমেন্ট ইন্টার্ন,Experience
resume_10.txt,| ব্রেইন স্টেশন লিমিটেড,Experience
resume_10.txt,| জানুয়ারি ২০১৯ - অক্টোবর ২০২০,Experience
